City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Madang,PG,78.78,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
269,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
270,Komsomolskiy,UZ,66.92,broken clouds,40.4272,71.7189,Ikathouse
273,Merke,KZ,65.03,overcast clouds,42.8728,73.1786,Gostinitsa Merki
275,Porto Santo,PT,73.78,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
276,Isla Vista,US,79.83,scattered clouds,34.4133,-119.861,Best Western Plus South Coast Inn
277,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
278,Diffa,NE,80.44,overcast clouds,13.3154,12.6113,ProDAF/Diffa
279,Traverse City,US,82.51,broken clouds,44.7631,-85.6206,Bayshore Resort
281,Buala,SB,83.46,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
282,Haimen,CN,77.05,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
283,Burlington,US,80.46,broken clouds,39.8835,-74.6413,Delanco Camp
284,Miri,MY,76.62,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
285,Faanui,PF,78.22,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
287,Mount Pleasant,US,83.3,clear sky,32.7941,-79.8626,Best Western Patriots Point
289,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
290,Caravelas,BR,67.37,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
292,Axim,GH,74.79,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
293,Byron Bay,AU,66.7,broken clouds,-28.65,153.6167,Backpackers Inn
296,Jalu,LY,80.92,clear sky,29.0331,21.5482,صاحبة الفخامة
298,Fayaoue,NC,75.13,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
300,Luwuk,ID,76.08,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
304,Hun,LY,83.75,clear sky,29.1268,15.9477,Alrwasi Hotel
305,Buchanan,LR,75.99,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
308,Virginia Beach,US,80.02,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
311,Sinnamary,GF,80.64,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
314,Salinopolis,BR,79.72,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
315,Minggang,CN,71.55,broken clouds,32.4586,114.0486,Yindu Hotel
316,Griffith,US,84.27,scattered clouds,41.5284,-87.4237,Apartment above Depot Bar
